Variable,Classification
CDD30YR,Climate
HDD30YR,Climate
DBT99,Climate
DBT1,Climate
NHSLDMEM,Demographic
SDESCENT,Demographic
HOUSEHOLDER_RACEAmericanIndianAlaskanNative,Demographic
HOUSEHOLDER_RACEAsian,Demographic
HOUSEHOLDER_RACEBlack,Demographic
HOUSEHOLDER_RACEMixedRace,Demographic
HOUSEHOLDER_RACENativeHawaiianPacificIslander,Demographic
HOUSEHOLDER_RACEWhite,Demographic
EDUCATION,Demographic
EMPLOYHH,Demographic
MONEYPY,Demographic
HHAGE,Demographic
UATYP10C,Place-based
UATYP10R,Place-based
UATYP10U,Place-based
KOWNRENTOccupied,Demographic
KOWNRENTOwned,Demographic
KOWNRENTRented,Demographic
ELPAYFullyIncluded,Demographic
ELPAYHouseholdPays,Demographic
ELPAYOther,Demographic
ELPAYPartiallyIncluded,Demographic
NGPAYFullyIncluded,Demographic
NGPAYHouseholdPays,Demographic
NGPAYNA,Demographic
NGPAYOther,Demographic
NGPAYPartiallyIncluded,Demographic
LPGPAYFullyIncluded,Demographic
LPGPAYHouseholdPays,Demographic
LPGPAYNA,Demographic
LPGPAYOther,Demographic
LPGPAYPartiallyIncluded,Demographic
FOPAYFullyIncluded,Demographic
FOPAYHouseholdPays,Demographic
FOPAYNA,Demographic
FOPAYOther,Demographic
FOPAYPartiallyIncluded,Demographic
YEARMADERANGE,Construction
AIRCOND,HVAC
WALLTYPEBrick,BuildingEnvelope
WALLTYPEConcrete,BuildingEnvelope
WALLTYPEShingle,BuildingEnvelope
WALLTYPESiding,BuildingEnvelope
WALLTYPEStone,BuildingEnvelope
WALLTYPEStucco,BuildingEnvelope
WALLTYPEWood,BuildingEnvelope
ROOFTYPECeramicClayTile,BuildingEnvelope
ROOFTYPEConcreteTiles,BuildingEnvelope
ROOFTYPEMetal,BuildingEnvelope
ROOFTYPENA,BuildingEnvelope
ROOFTYPEOther,BuildingEnvelope
ROOFTYPESlateSyntheticShake,BuildingEnvelope
ROOFTYPEWoodShingleShakes,BuildingEnvelope
TYPEGLASS,BuildingEnvelope
WINFRAMEComposite,BuildingEnvelope
WINFRAMEFiberglass,BuildingEnvelope
WINFRAMEMetal,BuildingEnvelope
WINFRAMEVinyl,BuildingEnvelope
WINFRAMEWood,BuildingEnvelope
ADQINSUL,BuildingEnvelope
DRAFTY,BuildingEnvelope
TYPEHUQHighRiseApt,Construction
TYPEHUQLowRiseApt,Construction
TYPEHUQMobile,Construction
TYPEHUQSingleFamAttached,Construction
TYPEHUQSingleFamDetached,Construction
COOLTYPEBoth,HVAC
COOLTYPECentralAir,HVAC
COOLTYPEIndvdWinUnit,HVAC
COOLTYPENone,HVAC
SWAMPCOL,HVAC
HEATHOME,HVAC
EQUIPMBuiltInElectric,HVAC
EQUIPMBuiltInFurnace,HVAC
EQUIPMBuiltInGas,HVAC
EQUIPMCentralFurnace,HVAC
EQUIPMFireplace,HVAC
EQUIPMHeatPump,HVAC
EQUIPMNone,HVAC
EQUIPMOther,HVAC
EQUIPMPortableElectric,HVAC
EQUIPMSteamHotWater,HVAC
EQUIPMWoodStove,HVAC
NOHEATBROKE,HVAC
NOHEATEL,HVAC
NOHEATNG,HVAC
NOHEATBULK,HVAC
NOACBROKE,HVAC
NOACEL,HVAC
WINDOWS,BuildingEnvelope
NUMCFAN,HVAC
NUMFLOORFAN,HVAC
